source,target,edgeType
node53024,node45985,related
node2127,node57268,depends_on
node15331,node82282,depends_on
node29303,node12467,depends_on
node14159,node58790,depends_on
node2008,node68316,connects_to
node39372,node9718,related
node25170,node29536,connects_to
node49043,node70148,related
node7984,node58749,related
node62741,node50845,related
node22676,node74585,related
node24066,node14575,related
node15017,node32544,depends_on
node82612,node74443,connects_to
node48625,node3051,related
node57301,node70602,depends_on
node67386,node16637,connects_to
node61054,node68177,connects_to
node12735,node19383,connects_to
node11117,node6700,depends_on
node29656,node3654,related
node39715,node1248,related
node33273,node25364,connects_to
node47548,node38813,connects_to
node57707,node10951,related
node9090,node12136,connects_to
node59585,node82982,related
node64500,node67974,depends_on
node53552,node53653,related
node58975,node63104,related
node75535,node71384,related
node55297,node58641,depends_on
node40631,node42387,connects_to
node39704,node40317,depends_on
node74736,node25109,connects_to
node46939,node54821,related
node6297,node42692,related
node81222,node63191,connects_to
node27996,node951,connects_to
node72197,node21010,connects_to
node74458,node43294,related
node2376,node2700,related
node77961,node30526,connects_to
node26035,node70278,depends_on
node55363,node53252,depends_on
node23109,node69395,related
node10322,node16064,depends_on
node43098,node40871,depends_on
node49252,node10831,related
node15509,node33460,connects_to
node10514,node45573,connects_to
node53350,node16137,depends_on
node14894,node78046,related
node62919,node74150,related
node75970,node34299,depends_on
node80522,node75498,related
node35072,node37581,depends_on
node21994,node51624,depends_on
node30515,node73784,depends_on
node44542,node73153,depends_on
node7070,node58321,related
node49673,node4627,connects_to
node10112,node45723,related
node82672,node68685,related
node46807,node79264,depends_on
node49713,node44579,connects_to
node30586,node11717,depends_on
node29958,node10891,related
node51498,node980,connects_to
node71367,node60629,depends_on
node76842,node13028,depends_on
node51360,node72551,connects_to
node40903,node38815,related
node13590,node77134,connects_to
node28872,node4691,connects_to
node57164,node25939,related
node55379,node15240,depends_on
node54117,node29403,related
node54407,node25348,connects_to
node42393,node383,connects_to
node74818,node58188,related
node80582,node24308,connects_to
node35204,node56555,connects_to
node10602,node846,related
node70963,node47743,connects_to
node42220,node820,related
